Gender,Quintile,Residence,Total_Quintile,Total_Gender,Total_Residence,Countries_and_areas
Male,Poorest_Wealth_quintile,Urban_Residence,42,28,19,Afghanistan
Male,Poorest_Wealth_quintile,Rural_Residence,42,28,42,Afghanistan
Female,Poorest_Wealth_quintile,Urban_Residence,42,47,19,Afghanistan
Female,Poorest_Wealth_quintile,Rural_Residence,42,47,42,Afghanistan
Male,Second_Wealth_quintile,Urban_Residence,47,28,19,Afghanistan
Male,Second_Wealth_quintile,Rural_Residence,47,28,42,Afghanistan
Female,Second_Wealth_quintile,Urban_Residence,47,47,19,Afghanistan
Female,Second_Wealth_quintile,Rural_Residence,47,47,42,Afghanistan
Male,Middle_Wealth_quintile,Urban_Residence,46,28,19,Afghanistan
Male,Middle_Wealth_quintile,Rural_Residence,46,28,42,Afghanistan
Female,Middle_Wealth_quintile,Urban_Residence,46,47,19,Afghanistan
Female,Middle_Wealth_quintile,Rural_Residence,46,47,42,Afghanistan
Male,Fourth_Wealth_quintile,Urban_Residence,32,28,19,Afghanistan
Male,Fourth_Wealth_quintile,Rural_Residence,32,28,42,Afghanistan
Female,Fourth_Wealth_quintile,Urban_Residence,32,47,19,Afghanistan
Female,Fourth_Wealth_quintile,Rural_Residence,32,47,42,Afghanistan
Male,Richest_Wealth_quintile,Urban_Residence,16,28,19,Afghanistan
Male,Richest_Wealth_quintile,Rural_Residence,16,28,42,Afghanistan
Female,Richest_Wealth_quintile,Urban_Residence,16,47,19,Afghanistan
Female,Richest_Wealth_quintile,Rural_Residence,16,47,42,Afghanistan
Male,Poorest_Wealth_quintile,Urban_Residence,4,3,1,Albania
Male,Poorest_Wealth_quintile,Rural_Residence,4,3,4,Albania
Female,Poorest_Wealth_quintile,Urban_Residence,4,2,1,Albania
Female,Poorest_Wealth_quintile,Rural_Residence,4,2,4,Albania
Male,Second_Wealth_quintile,Urban_Residence,3,3,1,Albania
Male,Second_Wealth_quintile,Rural_Residence,3,3,4,Albania
Female,Second_Wealth_quintile,Urban_Residence,3,2,1,Albania
Female,Second_Wealth_quintile,Rural_Residence,3,2,4,Albania
Male,Middle_Wealth_quintile,Urban_Residence,2,3,1,Albania
Male,Middle_Wealth_quintile,Rural_Residence,2,3,4,Albania
Female,Middle_Wealth_quintile,Urban_Residence,2,2,1,Albania
Female,Middle_Wealth_quintile,Rural_Residence,2,2,4,Albania
Male,Fourth_Wealth_quintile,Urban_Residence,2,3,1,Albania
Male,Fourth_Wealth_quintile,Rural_Residence,2,3,4,Albania
Female,Fourth_Wealth_quintile,Urban_Residence,2,2,1,Albania
Female,Fourth_Wealth_quintile,Rural_Residence,2,2,4,Albania
Male,Richest_Wealth_quintile,Urban_Residence,1,3,1,Albania
Male,Richest_Wealth_quintile,Rural_Residence,1,3,4,Albania
Female,Richest_Wealth_quintile,Urban_Residence,1,2,1,Albania
Female,Richest_Wealth_quintile,Rural_Residence,1,2,4,Albania
Male,Poorest_Wealth_quintile,Urban_Residence,3,2,2,Algeria
Male,Poorest_Wealth_quintile,Rural_Residence,3,2,2,Algeria
Female,Poorest_Wealth_quintile,Urban_Residence,3,2,2,Algeria
Female,Poorest_Wealth_quintile,Rural_Residence,3,2,2,Algeria
Male,Second_Wealth_quintile,Urban_Residence,2,2,2,Algeria
Male,Second_Wealth_quintile,Rural_Residence,2,2,2,Algeria
Female,Second_Wealth_quintile,Urban_Residence,2,2,2,Algeria
Female,Second_Wealth_quintile,Rural_Residence,2,2,2,Algeria
